"","quantile_p","arm_type","replication","strategy","num_rounds","chosen_arm"
"100",0.05,"uniform",17,"QPAC",96230,0
"101",0.05,"uniform",17,"QPAC BB",7090,0
"102",0.05,"uniform",17,"Doubled Max-Q",1205248,0
"103",0.05,"uniform",18,"LUCB BB",4075,0
"104",0.05,"uniform",18,"LUCB DKW",67089,0
"105",0.05,"uniform",18,"LUCB Stitched",8237,0
"106",0.05,"uniform",18,"QPAC",100140,0
"107",0.05,"uniform",18,"QPAC BB",7170,0
"108",0.05,"uniform",18,"Doubled Max-Q",1177856,0
"109",0.05,"uniform",19,"LUCB BB",7290,0
"110",0.05,"uniform",19,"LUCB DKW",69066,0
"111",0.05,"uniform",19,"LUCB Stitched",8788,0
"112",0.05,"uniform",19,"QPAC",95680,0
"113",0.05,"uniform",19,"QPAC BB",8290,0
"114",0.05,"uniform",19,"Doubled Max-Q",1150464,0
"115",0.05,"uniform",20,"LUCB BB",4277,0
"116",0.05,"uniform",20,"LUCB DKW",64138,0
"117",0.05,"uniform",20,"LUCB Stitched",7737,0
"118",0.05,"uniform",20,"QPAC",85510,0
"119",0.05,"uniform",20,"QPAC BB",6810,0
"120",0.05,"uniform",20,"Doubled Max-Q",1150464,0
"121",0.05,"uniform",21,"LUCB BB",5504,0
"122",0.05,"uniform",21,"LUCB DKW",62271,0
"123",0.05,"uniform",21,"LUCB Stitched",9121,0
"124",0.05,"uniform",21,"QPAC",92220,0
"125",0.05,"uniform",21,"QPAC BB",8580,0
"126",0.05,"uniform",21,"Doubled Max-Q",1177856,0
"127",0.05,"uniform",22,"LUCB BB",3183,0
"128",0.05,"uniform",22,"LUCB DKW",68256,0
"129",0.05,"uniform",22,"LUCB Stitched",6966,0
"130",0.05,"uniform",22,"QPAC",96160,0
"131",0.05,"uniform",22,"QPAC BB",4420,0
"132",0.05,"uniform",22,"Doubled Max-Q",1123072,0
"133",0.05,"uniform",23,"LUCB BB",3898,0
"134",0.05,"uniform",23,"LUCB DKW",62927,0
"135",0.05,"uniform",23,"LUCB Stitched",9060,0
"136",0.05,"uniform",23,"QPAC",94790,0
"137",0.05,"uniform",23,"QPAC BB",7610,0
"138",0.05,"uniform",23,"Doubled Max-Q",1177856,0
"139",0.05,"uniform",24,"LUCB BB",4301,0
"140",0.05,"uniform",24,"LUCB DKW",70677,0
"141",0.05,"uniform",24,"LUCB Stitched",9273,0
