"","quantile_p","arm_type","replication","strategy","num_rounds","chosen_arm"
"1",0.05,"uniform",1,"ABTest",1148,0
"2",0.05,"uniform",1,"LUCB BB",1368,0
"3",0.05,"uniform",2,"ABTest",835,0
"4",0.05,"uniform",2,"LUCB BB",1164,0
"5",0.05,"uniform",3,"ABTest",1318,0
"6",0.05,"uniform",3,"LUCB BB",1560,0
"7",0.05,"uniform",4,"ABTest",906,0
"8",0.05,"uniform",4,"LUCB BB",1220,0
"9",0.05,"uniform",5,"ABTest",860,0
"10",0.05,"uniform",5,"LUCB BB",1210,0
"11",0.05,"uniform",6,"ABTest",1152,0
"12",0.05,"uniform",6,"LUCB BB",1392,0
"13",0.05,"uniform",7,"ABTest",724,0
"14",0.05,"uniform",7,"LUCB BB",919,0
"15",0.05,"uniform",8,"ABTest",516,0
"16",0.05,"uniform",8,"LUCB BB",1457,0
"17",0.05,"uniform",9,"ABTest",1692,0
"18",0.05,"uniform",9,"LUCB BB",1880,0
"19",0.05,"uniform",10,"ABTest",1806,0
"20",0.05,"uniform",10,"LUCB BB",1869,0
"21",0.05,"uniform",11,"ABTest",867,0
"22",0.05,"uniform",11,"LUCB BB",1060,0
"23",0.05,"uniform",12,"ABTest",2014,0
"24",0.05,"uniform",12,"LUCB BB",2454,0
"25",0.05,"uniform",13,"ABTest",1324,0
"26",0.05,"uniform",13,"LUCB BB",2096,0
"27",0.05,"uniform",14,"ABTest",1190,0
"28",0.05,"uniform",14,"LUCB BB",1299,0
"29",0.05,"uniform",15,"ABTest",660,0
"30",0.05,"uniform",15,"LUCB BB",807,0
"31",0.05,"uniform",16,"ABTest",1648,0
"32",0.05,"uniform",16,"LUCB BB",2569,0
"33",0.05,"uniform",17,"ABTest",1406,0
"34",0.05,"uniform",17,"LUCB BB",2584,0
"35",0.05,"uniform",18,"ABTest",412,0
"36",0.05,"uniform",18,"LUCB BB",635,0
"37",0.05,"uniform",19,"ABTest",1814,0
"38",0.05,"uniform",19,"LUCB BB",2619,0
"39",0.05,"uniform",20,"ABTest",1521,0
"40",0.05,"uniform",20,"LUCB BB",1767,0
"41",0.05,"uniform",21,"ABTest",1020,0
"42",0.05,"uniform",21,"LUCB BB",1382,0
